LEA,LEADescription,Enrollment,NativeAmericanOrAlaskan,Hispanic,NativeHawaiianOrPacificIslander,BlackAfricanAmerican,TwoOrMoreRaces,White,Asian,EconDisadvantaged,SPED,LEP
6502001,Leslie Intermediate School,158,0.632911392405,2.53164556962,0,0.632911392405,1.26582278481,94.936708860759,0,73.42,12.025316455696,0.632911392405
6502005,Marshall Elementary School,243,0,0.823045267489,0.411522633744,0,0.823045267489,97.942386831275,0,77.37,11.111111111111,0
6502006,Marshall High School,415,1.927710843373,2.89156626506,1.204819277108,0,0,93.734939759036,0.240963855421,67.95,7.951807228915,0
6505009,St. Joe Elementary School,82,2.439024390243,1.219512195121,0,0,0,95.121951219512,1.219512195121,82.93,13.414634146341,0
6505010,St. Joe High School,93,7.52688172043,4.301075268817,0,0,0,88.172043010752,0,66.67,21.505376344086,0
6505011,Bruno-Pyatt High School,98,1.020408163265,10.204081632653,0,0,0,88.775510204081,0,71.43,13.265306122448,0
6505012,Bruno-Pyatt Elementary School,126,0,5.555555555555,0,0,0,94.444444444444,0,81.75,13.492063492063,0
6505013,Western Grove Elem. School,144,2.777777777777,0.694444444444,0,0,0,96.527777777777,0,78.47,10.416666666666,0
6505014,Western Grove High School,114,0.877192982456,0.877192982456,0,0,0,98.245614035087,0,65.79,17.543859649122,0
6601001,Ballman Elementary School,273,4.761904761904,24.175824175824,0.7326007326,6.959706959706,7.326007326007,52.014652014652,4.029304029304,69.96,11.355311355311,20.51282051282
6601002,Barling Elementary School,393,2.544529262086,20.865139949109,0,2.798982188295,2.798982188295,66.412213740458,4.580152671755,72.01,13.994910941475,19.592875318066
6601003,Beard Elementary School,300,1.666666666666,9,0,10.333333333333,11.666666666666,63.666666666666,3.666666666666,63.67,14.333333333333,7
6601005,Belle Point Alternative Center,79,1.26582278481,21.518987341772,0,25.316455696202,8.86075949367,41.772151898734,1.26582278481,91.14,12.658227848101,15.189873417721
6601006,Bonneville Elementary School,335,0.597014925373,18.507462686567,0,11.641791044776,5.074626865671,59.402985074626,4.776119402985,74.03,11.940298507462,15.820895522388
6601007,Carnall Elementary School,264,0.757575757575,17.80303030303,0,15.90909090909,3.787878787878,57.954545454545,3.787878787878,83.71,24.621212121212,13.636363636363
6601008,Cavanaugh Elementary School,274,1.459854014598,14.233576642335,0.364963503649,11.313868613138,9.12408759124,54.744525547445,8.759124087591,61.31,18.248175182481,12.408759124087
