School LEA,School Name,Overall Actual Grad,Overall Expected Grad,Overall Graduation Rate,Hispanic Actual Grad,Hispanic Expected Grad,Hispanic Overall Grad Rate,Native American Actual Grad,Native American Expected Grad,Native American Overall Grad Rate,Asian Actual Grad,Asian Expected Grad,Asian Overall Grad Rate,African American Actual Grad,African American Expected Grad,African American Overall Grad Rate,Hawaiian/Pacific Islander Actual Grad,Hawaiian/Pacific Islander Expected Grad,Hawaiian/Pacific Islander Overall Grad Rate,Caucasian Actual Grad,Caucasian Expected Grad,Caucasian Overall Grad Rate,Two or More Actual Grad,Two or More Expected Grad,Two or More Overall Grad Rate,Economic Disadvantage Actual Grad,Economic Disadvantage Expected Grad,Economic Disadvantage Overall Grad Rate,SPED Actual Grad,SPED Expected Grad,SPED Overall Grad Rate,Migrant Actual Grad,Migrant Expected Grad,Migrant Overall Grad Rate,LEP Actual Grad,LEP Expected Grad,LEP Overall Grad Rate,TAGG Actual Grad,TAGG Expected Grad,TAGG Overall Grad Rate
5504015,Murfreesboro High School,51,55,92.73,RV,RV,RV,RV,RV,RV,0,0,0.00,RV,RV,RV,0,0,0.00,44,48,91.67,0,0,0.00,31,31,100.00,RV,RV,RV,0,0,0.00,0,0,0.00,34,34,100.00
5602007,Harrisburg High School,79,103,76.70,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,76,99,76.77,0,0,0.00,78,98,79.59,RV,RV,RV,RV,RV,RV,0,0,0.00,78,98,79.59
5604017,Marked Tree High School,37,42,88.10,0,0,0.00,0,0,0.00,0,0,0.00,11,12,91.67,0,0,0.00,26,30,86.67,0,0,0.00,22,26,84.62,RV,RV,RV,0,0,0.00,0,0,0.00,23,27,85.19
5605023,Trumann High School,95,116,81.90,RV,RV,RV,0,0,0.00,0,0,0.00,12,15,80.00,RV,RV,RV,78,95,82.11,0,0,0.00,67,82,81.71,14,16,87.50,RV,RV,RV,0,0,0.00,69,85,81.18
5608037,East Poinsett Co. High School,46,52,88.46,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,35,39,89.74,RV,RV,RV,31,35,88.57,RV,RV,RV,0,0,0.00,0,0,0.00,34,38,89.47
5703012,Mena High School,148,158,93.67,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,0,0,0.00,136,145,93.79,0,0,0.00,66,73,90.41,RV,RV,RV,0,0,0.00,0,0,0.00,67,74,90.54
5706002,Acorn High School,39,49,79.59,RV,RV,RV,RV,RV,RV,10,10,100.00,0,0,0.00,0,0,0.00,26,34,76.47,RV,RV,RV,14,18,77.78,RV,RV,RV,RV,RV,RV,0,0,0.00,14,19,73.68
5706011,Oden High School,14,15,93.33,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,0,0,0.00,12,13,92.31,RV,RV,RV,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV
5707017,Umpire High School,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV,RV,RV,RV
5707023,Cossatot River High School,73,77,94.81,14,14,100.00,RV,RV,RV,RV,RV,100.00,0,0,0.00,0,0,0.00,54,57,94.74,RV,RV,RV,68,72,94.44,RV,RV,RV,0,0,0.00,10,10,100.00,68,72,94.44
5801002,Atkins High School,56,71,78.87,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,53,67,79.10,RV,RV,RV,28,41,68.29,RV,RV,RV,RV,RV,RV,0,0,0.00,32,45,71.11
5802006,Dover High School,91,105,86.67,RV,RV,RV,RV,RV,RV,0,0,0.00,RV,RV,RV,0,0,0.00,87,99,87.88,0,0,0.00,50,57,87.72,RV,RV,RV,0,0,0.00,RV,RV,RV,51,58,87.93
5803010,Hector High School,36,40,90.00,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,34,38,89.47,RV,RV,RV,23,25,92.00,RV,RV,RV,0,0,0.00,RV,RV,RV,24,26,92.31
5804014,Pottsville High School,101,107,94.39,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,0,0,0.00,94,100,94.00,0,0,0.00,36,37,97.30,RV,RV,RV,0,0,0.00,RV,RV,RV,40,41,97.56
5805024,Russellville High School,352,431,81.67,65,78,83.33,RV,RV,RV,RV,RV,RV,20,27,74.07,RV,RV,RV,250,305,81.97,RV,RV,RV,136,174,78.16,17,24,70.83,RV,RV,RV,29,31,93.55,150,192,78.13
5901002,Des Arc High School,48,55,87.27,RV,RV,RV,0,0,0.00,0,0,0.00,9,12,75.00,0,0,0.00,38,42,90.48,0,0,0.00,27,32,84.38,RV,RV,RV,0,0,0.00,0,0,0.00,28,35,80.00
5903012,Hazen High School,51,64,79.69,0,0,0.00,0,0,0.00,RV,RV,RV,13,20,65.00,0,0,0.00,37,43,86.05,0,0,0.00,22,32,68.75,RV,RV,RV,0,0,0.00,0,0,0.00,25,35,71.43
6001001,Central High School,569,658,86.47,27,32,84.38,RV,RV,RV,56,58,96.55,275,340,80.88,0,0,0.00,201,218,92.20,RV,RV,RV,228,276,82.61,29,38,76.32,0,0,0.00,RV,RV,RV,239,290,82.41
6001002,Hall High School,191,365,52.33,26,59,44.07,0,0,0.00,RV,RV,RV,152,267,56.93,0,0,0.00,11,32,34.38,RV,RV,RV,151,238,63.45,40,55,72.73,0,0,0.00,19,34,55.88,160,258,62.02
6001005,Parkview Magnet High School,213,234,91.03,26,30,86.67,RV,RV,RV,11,12,91.67,117,125,93.60,0,0,0.00,51,59,86.44,RV,RV,RV,115,129,89.15,RV,RV,RV,0,0,0.00,13,16,81.25,121,136,88.97
6001063,J.A. Fair High School,150,201,74.63,14,18,77.78,0,0,0.00,RV,RV,RV,122,166,73.49,0,0,0.00,10,12,83.33,RV,RV,RV,109,147,74.15,20,24,83.33,0,0,0.00,7,11,63.64,116,156,74.36
6001064,Mcclellan Magnet High School,185,312,59.29,12,28,42.86,RV,RV,RV,RV,RV,RV,167,266,62.78,0,0,0.00,6,16,37.50,0,0,0.00,147,212,69.34,30,40,75.00,0,0,0.00,8,11,72.73,152,219,69.41
6002080,North Little Rock Academy,5,48,10.42,RV,RV,RV,0,0,0.00,0,0,0.00,4,42,9.52,0,0,0.00,RV,RV,RV,0,0,0.00,3,36,8.33,RV,RV,RV,0,0,0.00,RV,RV,RV,4,39,10.26
6002082,North Little Rock High School,471,554,85.02,38,46,82.61,RV,RV,RV,12,12,100.00,242,299,80.94,0,0,0.00,177,194,91.24,RV,RV,RV,235,296,79.39,27,33,81.82,0,0,0.00,15,18,83.33,244,306,79.74
6003123,Jacksonville High School,185,264,70.08,10,14,71.43,RV,RV,RV,RV,RV,RV,101,148,68.24,RV,RV,RV,58,84,69.05,11,12,91.67,98,148,66.22,25,34,73.53,0,0,0.00,RV,RV,RV,114,165,69.09
