School LEA,School Name,Overall Actual Grad,Overall Expected Grad,Overall Graduation Rate,Hispanic Actual Grad,Hispanic Expected Grad,Hispanic Overall Grad Rate,Native American Actual Grad,Native American Expected Grad,Native American Overall Grad Rate,Asian Actual Grad,Asian Expected Grad,Asian Overall Grad Rate,African American Actual Grad,African American Expected Grad,African American Overall Grad Rate,Hawaiian/Pacific Islander Actual Grad,Hawaiian/Pacific Islander Expected Grad,Hawaiian/Pacific Islander Overall Grad Rate,Caucasian Actual Grad,Caucasian Expected Grad,Caucasian Overall Grad Rate,Two or More Actual Grad,Two or More Expected Grad,Two or More Overall Grad Rate,Economic Disadvantage Actual Grad,Economic Disadvantage Expected Grad,Economic Disadvantage Overall Grad Rate,SPED Actual Grad,SPED Expected Grad,SPED Overall Grad Rate,Migrant Actual Grad,Migrant Expected Grad,Migrant Overall Grad Rate,LEP Actual Grad,LEP Expected Grad,LEP Overall Grad Rate,TAGG Actual Grad,TAGG Expected Grad,TAGG Overall Grad Rate
101004,Dewitt High School,89,101,88.12,0,0,0.00,0,0,0.00,RV,RV,RV,22,24,91.67,0,0,0.00,65,75,86.67,RV,RV,RV,45,52,86.54,13,14,92.86,0,0,0.00,0,0,0.00,49,56,87.50
104025,Stuttgart High School,118,144,81.94,RV,RV,RV,0,0,0.00,RV,RV,RV,53,74,71.62,0,0,0.00,58,61,95.08,RV,RV,RV,55,73,75.34,RV,RV,RV,0,0,0.00,RV,RV,RV,57,75,76.00
201006,Crossett High School,115,149,77.18,RV,RV,RV,0,0,0.00,RV,RV,RV,45,58,77.59,0,0,0.00,68,88,77.27,0,0,0.00,54,69,78.26,RV,RV,RV,0,0,0.00,RV,RV,RV,58,74,78.38
203018,Hamburg High School,120,139,86.33,11,12,91.67,0,0,0.00,RV,RV,RV,37,44,84.09,0,0,0.00,71,82,86.59,0,0,0.00,63,77,81.82,RV,RV,RV,RV,RV,RV,10,11,90.91,67,81,82.72
302007,Cotter High School,43,45,95.56,0,0,0.00,0,0,0.00,RV,RV,100.00,0,0,0.00,0,0,0.00,42,44,95.45,0,0,0.00,27,28,96.43,RV,RV,RV,0,0,0.00,0,0,0.00,28,29,96.55
303703,Mountain Home Career Academies,240,285,84.21,13,13,100.00,0,0,0.00,RV,RV,RV,0,0,0.00,0,0,0.00,219,261,83.91,RV,RV,RV,101,127,79.53,8,12,66.67,0,0,0.00,RV,RV,RV,103,131,78.63
304022,Norfork High School,34,35,97.14,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,32,32,100.00,RV,RV,RV,29,30,96.67,RV,RV,RV,0,0,0.00,0,0,0.00,29,30,96.67
401003,Bentonville High School,897,1011,88.72,102,117,87.18,12,17,70.59,33,33,100.00,27,31,87.10,RV,RV,RV,677,762,88.85,41,46,89.13,131,183,71.58,61,83,73.49,0,0,0.00,21,24,87.50,182,244,74.59
402009,Decatur High School,36,44,81.82,12,12,100.00,RV,RV,RV,RV,RV,RV,RV,RV,RV,0,0,0.00,19,25,76.00,0,0,0.00,25,28,89.29,RV,RV,RV,RV,RV,RV,RV,RV,RV,27,30,90.00
403014,Gentry High School,97,113,85.84,16,21,76.19,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,55,65,84.62,14,14,100.00,42,54,77.78,8,10,80.00,RV,RV,RV,RV,RV,RV,46,58,79.31
404022,Gravette High School,132,159,83.02,9,10,90.00,RV,RV,RV,RV,RV,RV,0,0,0.00,RV,RV,RV,117,138,84.78,RV,RV,RV,36,52,69.23,11,14,78.57,0,0,0.00,7,10,70.00,44,60,73.33
405048,Rogers High School,491,529,92.82,202,222,90.99,RV,RV,RV,11,11,100.00,10,10,100.00,RV,RV,RV,252,267,94.38,10,11,90.91,237,258,91.86,35,41,85.37,RV,RV,RV,125,139,89.93,261,289,90.31
405052,Rogers Heritage High School,479,528,90.72,185,200,92.50,RV,RV,RV,10,10,100.00,RV,RV,RV,RV,RV,RV,256,285,89.82,14,15,93.33,265,295,89.83,57,64,89.06,RV,RV,RV,127,136,93.38,292,324,90.12
406050,Siloam Springs High School,288,324,88.89,81,89,91.01,17,24,70.83,RV,RV,RV,RV,RV,RV,RV,RV,RV,176,193,91.19,RV,RV,RV,121,138,87.68,19,20,95.00,RV,RV,RV,51,53,96.23,137,155,88.39
407027,Pea Ridge High School,91,106,85.85,RV,RV,RV,RV,RV,RV,0,0,0.00,RV,RV,RV,0,0,0.00,85,99,85.86,0,0,0.00,25,34,73.53,RV,RV,RV,0,0,0.00,RV,RV,RV,26,35,74.29
407703,Pea Ridge Manufacturing & Business Academy,30,31,96.77,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,27,28,96.43,0,0,0.00,16,16,100.00,RV,RV,RV,0,0,0.00,0,0,0.00,18,18,100.00
440703,Arkansas Arts Academy High School,57,59,96.61,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,0,0,0.00,47,49,95.92,0,0,0.00,13,13,100.00,RV,RV,RV,0,0,0.00,RV,RV,RV,20,20,100.00
501002,Alpena High School,25,28,89.29,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,24,27,88.89,RV,RV,RV,13,15,86.67,RV,RV,RV,0,0,0.00,0,0,0.00,13,15,86.67
502007,Bergman High School,79,83,95.18,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,76,80,95.00,0,0,0.00,30,32,93.75,RV,RV,RV,0,0,0.00,0,0,0.00,34,36,94.44
503016,Harrison High School,199,221,90.05,RV,RV,RV,0,0,0.00,RV,RV,RV,RV,RV,RV,0,0,0.00,190,212,89.62,0,0,0.00,75,92,81.52,10,10,100.00,0,0,0.00,0,0,0.00,80,97,82.47
504023,Omaha High School,28,34,82.35,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,24,30,80.00,0,0,0.00,16,19,84.21,RV,RV,RV,0,0,0.00,0,0,0.00,16,19,84.21
505027,Valley Springs High School,72,76,94.74,RV,RV,RV,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,69,72,95.83,RV,RV,RV,28,30,93.33,RV,RV,RV,0,0,0.00,0,0,0.00,34,36,94.44
506032,Lead Hill High School,25,30,83.33,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,0,0,0.00,21,26,80.77,0,0,0.00,25,30,83.33,RV,RV,RV,RV,RV,RV,0,0,0.00,25,30,83.33
601007,Hermitage High School,34,43,79.07,10,14,71.43,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,19,23,82.61,0,0,0.00,23,29,79.31,RV,RV,RV,RV,RV,RV,RV,RV,RV,24,32,75.00
602014,Warren High School,108,131,82.44,18,24,75.00,RV,RV,RV,0,0,0.00,35,45,77.78,0,0,0.00,54,60,90.00,0,0,0.00,63,77,81.82,RV,RV,RV,RV,RV,RV,RV,RV,RV,65,80,81.25
701002,Hampton High School,31,33,93.94,RV,RV,RV,0,0,0.00,0,0,0.00,10,11,90.91,0,0,0.00,19,20,95.00,0,0,0.00,23,25,92.00,RV,RV,RV,0,0,0.00,0,0,0.00,24,26,92.31
801002,Berryville High School,116,143,81.12,24,28,85.71,0,0,0.00,0,0,0.00,RV,RV,RV,RV,RV,RV,90,109,82.57,0,0,0.00,49,64,76.56,8,16,50.00,RV,RV,RV,9,10,90.00,57,76,75.00
802007,Eureka Springs High School,41,58,70.69,6,11,54.55,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,33,45,73.33,0,0,0.00,23,31,74.19,RV,RV,RV,RV,RV,RV,RV,RV,RV,23,33,69.70
803012,Green Forest High School,91,109,83.49,43,47,91.49,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,48,62,77.42,0,0,0.00,63,79,79.75,RV,RV,RV,RV,RV,RV,20,23,86.96,65,81,80.25
901003,Dermott High School,27,27,100.00,RV,RV,RV,0,0,0.00,0,0,0.00,25,25,100.00,0,0,0.00,RV,RV,RV,0,0,0.00,25,25,100.00,RV,RV,RV,0,0,0.00,RV,RV,RV,25,25,100.00
903018,Lakeside High School,63,68,92.65,RV,RV,RV,0,0,0.00,0,0,0.00,52,56,92.86,0,0,0.00,RV,RV,RV,0,0,0.00,61,64,95.31,RV,RV,RV,0,0,0.00,RV,RV,RV,61,64,95.31
1002010,Arkadelphia High School,107,144,74.31,RV,RV,RV,0,0,0.00,0,0,0.00,40,52,76.92,0,0,0.00,62,82,75.61,RV,RV,RV,43,62,69.35,RV,RV,RV,0,0,0.00,0,0,0.00,44,64,68.75
1003018,Gurdon High School,52,66,78.79,7,10,70.00,RV,RV,RV,RV,RV,RV,17,18,94.44,0,0,0.00,27,35,77.14,RV,RV,RV,37,44,84.09,RV,RV,RV,0,0,0.00,0,0,0.00,38,48,79.17
1101004,Corning High School,56,56,100.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,56,56,100.00,0,0,0.00,33,33,100.00,RV,RV,RV,0,0,0.00,0,0,0.00,34,34,100.00
1104018,Piggott High School,60,63,95.24,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,60,63,95.24,0,0,0.00,21,21,100.00,RV,RV,RV,0,0,0.00,0,0,0.00,22,22,100.00
1106023,Rector High School,29,32,90.63,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,29,32,90.63,0,0,0.00,16,19,84.21,RV,RV,RV,RV,RV,RV,0,0,0.00,17,20,85.00
1201002,Concord High School,33,33,100.00,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,32,32,100.00,0,0,0.00,23,23,100.00,RV,RV,RV,0,0,0.00,0,0,0.00,23,23,100.00
1202006,Heber Springs High School,128,146,87.67,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,0,0,0.00,119,136,87.50,0,0,0.00,43,57,75.44,RV,RV,RV,RV,RV,RV,RV,RV,RV,44,58,75.86
1203011,Quitman High School,53,55,96.36,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,50,52,96.15,RV,RV,RV,17,18,94.44,RV,RV,RV,RV,RV,RV,0,0,0.00,18,19,94.74
1204015,West Side High School,32,32,100.00,RV,RV,RV,0,0,0.00,RV,RV,RV,0,0,0.00,0,0,0.00,29,29,100.00,0,0,0.00,13,13,100.00,RV,RV,RV,0,0,0.00,0,0,0.00,15,15,100.00
1304015,Woodlawn High School,45,48,93.75,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,44,47,93.62,0,0,0.00,13,13,100.00,RV,RV,RV,0,0,0.00,RV,RV,RV,15,15,100.00
1305010,Rison High School,41,44,93.18,RV,RV,RV,0,0,0.00,0,0,0.00,14,14,100.00,0,0,0.00,26,29,89.66,0,0,0.00,23,25,92.00,RV,RV,RV,0,0,0.00,0,0,0.00,24,26,92.31
1402009,Magnolia High School,190,203,93.60,RV,RV,RV,0,0,0.00,0,0,0.00,96,106,90.57,0,0,0.00,86,89,96.63,RV,RV,RV,113,118,95.76,10,11,90.91,RV,RV,RV,RV,RV,RV,114,120,95.00
1408002,Emerson High School,15,24,62.50,0,0,0.00,RV,RV,RV,RV,RV,RV,RV,RV,RV,0,0,0.00,11,18,61.11,0,0,0.00,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV
1408007,Bradley High School,29,29,100.00,0,0,0.00,0,0,0.00,0,0,0.00,12,12,100.00,0,0,0.00,17,17,100.00,0,0,0.00,16,16,100.00,RV,RV,RV,0,0,0.00,0,0,0.00,16,16,100.00
1408019,Taylor High School,16,24,66.67,0,0,0.00,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,15,21,71.43,0,0,0.00,5,11,45.45,RV,RV,RV,0,0,0.00,0,0,0.00,5,11,45.45
1503017,Nemo Vista High School,32,34,94.12,0,0,0.00,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,29,31,93.55,RV,RV,RV,10,12,83.33,RV,RV,RV,0,0,0.00,0,0,0.00,10,12,83.33
1505026,Wonderview High School,30,32,93.75,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,28,30,93.33,0,0,0.00,11,12,91.67,RV,RV,RV,0,0,0.00,0,0,0.00,12,13,92.31
1507036,Morrilton Sr. High School,166,186,89.25,13,13,100.00,RV,RV,RV,RV,RV,RV,41,46,89.13,RV,RV,RV,106,120,88.33,RV,RV,RV,77,94,81.91,RV,RV,RV,0,0,0.00,RV,RV,RV,81,98,82.65
1601002,Bay High School,36,43,83.72,0,0,0.00,0,0,0.00,0,0,0.00,RV,RV,RV,RV,RV,RV,33,40,82.50,0,0,0.00,16,21,76.19,RV,RV,RV,RV,RV,RV,0,0,0.00,18,24,75.00
1602055,Westside High School,99,123,80.49,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,94,117,80.34,RV,RV,RV,47,60,78.33,11,12,91.67,RV,RV,RV,0,0,0.00,50,64,78.13
1603007,Brookland High School,114,121,94.21,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,110,117,94.02,RV,RV,RV,31,33,93.94,9,11,81.82,0,0,0.00,RV,RV,RV,35,38,92.11
1605063,Buffalo Is. Central HS,49,53,92.45,10,10,100.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,39,43,90.70,0,0,0.00,21,23,91.30,RV,RV,RV,RV,RV,RV,RV,RV,RV,23,25,92.00
1608703,The Academies At Jonesboro High School,345,379,91.03,29,34,85.29,0,0,0.00,RV,RV,RV,147,166,88.55,0,0,0.00,167,176,94.89,RV,RV,RV,175,196,89.29,32,32,100.00,RV,RV,RV,RV,RV,RV,187,208,89.90
1611042,Nettleton High School,221,238,92.86,18,18,100.00,RV,RV,RV,RV,RV,RV,67,74,90.54,0,0,0.00,127,137,92.70,RV,RV,RV,104,114,91.23,20,21,95.24,RV,RV,RV,RV,RV,RV,112,123,91.06
1612048,Valley View High School,173,180,96.11,RV,RV,RV,0,0,0.00,RV,RV,RV,RV,RV,RV,0,0,0.00,163,170,95.88,RV,RV,RV,32,33,96.97,10,10,100.00,0,0,0.00,0,0,0.00,37,38,97.37
1613021,Riverside High School,51,56,91.07,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,49,54,90.74,0,0,0.00,29,32,90.63,10,11,90.91,0,0,0.00,0,0,0.00,32,36,88.89
1701002,Alma High School,237,266,89.10,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,0,0,0.00,214,241,88.80,RV,RV,RV,109,131,83.21,25,25,100.00,0,0,0.00,0,0,0.00,115,137,83.94
1702009,Cedarville High School,62,67,92.54,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,51,56,91.07,RV,RV,RV,60,65,92.31,9,11,81.82,RV,RV,RV,0,0,0.00,60,65,92.31
1703013,Mountainburg High School,30,37,81.08,0,0,0.00,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,29,36,80.56,0,0,0.00,14,20,70.00,RV,RV,RV,RV,RV,RV,0,0,0.00,15,21,71.43
1704017,Mulberry High School,25,27,92.59,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,25,27,92.59,0,0,0.00,8,10,80.00,RV,RV,RV,0,0,0.00,0,0,0.00,8,10,80.00
1705027,Van Buren High School,372,442,84.16,67,75,89.33,RV,RV,RV,14,15,93.33,RV,RV,RV,0,0,0.00,256,315,81.27,24,25,96.00,188,232,81.03,26,29,89.66,RV,RV,RV,19,20,95.00,197,242,81.40
1802007,Earle High School,47,60,78.33,0,0,0.00,0,0,0.00,0,0,0.00,46,59,77.97,0,0,0.00,RV,RV,RV,0,0,0.00,47,56,83.93,RV,RV,RV,RV,RV,RV,0,0,0.00,47,56,83.93
1803703,The Academies Of West Memphis Charter School,344,402,85.57,RV,RV,RV,0,0,0.00,RV,RV,RV,277,325,85.23,0,0,0.00,60,69,86.96,RV,RV,RV,341,384,88.80,49,54,90.74,RV,RV,RV,RV,RV,RV,341,384,88.80
1804015,Marion High School,261,298,87.58,RV,RV,RV,RV,RV,RV,RV,RV,RV,142,157,90.45,0,0,0.00,108,127,85.04,RV,RV,RV,138,162,85.19,30,33,90.91,0,0,0.00,RV,RV,RV,147,172,85.47
1901703,Cross Cnty High A New Tech Sch,39,47,82.98,0,0,0.00,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,36,43,83.72,0,0,0.00,27,34,79.41,RV,RV,RV,RV,RV,RV,0,0,0.00,28,35,80.00
1905017,Wynne High School,172,206,83.50,0,0,0.00,0,0,0.00,RV,RV,RV,50,68,73.53,0,0,0.00,120,136,88.24,0,0,0.00,84,103,81.55,20,25,80.00,RV,RV,RV,0,0,0.00,93,113,82.30
2002007,Fordyce High School,61,67,91.04,RV,RV,RV,0,0,0.00,0,0,0.00,34,36,94.44,0,0,0.00,25,29,86.21,0,0,0.00,32,35,91.43,RV,RV,RV,0,0,0.00,RV,RV,RV,35,38,92.11
2104021,Dumas High School,89,104,85.58,RV,RV,RV,0,0,0.00,RV,RV,RV,57,65,87.69,0,0,0.00,22,29,75.86,0,0,0.00,54,65,83.08,12,13,92.31,RV,RV,RV,RV,RV,RV,58,70,82.86
2105028,McGehee High School,75,91,82.42,RV,RV,RV,RV,RV,RV,RV,RV,RV,29,36,80.56,0,0,0.00,43,52,82.69,0,0,0.00,46,54,85.19,8,11,72.73,0,0,0.00,0,0,0.00,47,55,85.45
2202005,Drew Central High School,59,73,80.82,RV,RV,RV,RV,RV,RV,0,0,0.00,16,19,84.21,0,0,0.00,38,48,79.17,0,0,0.00,31,41,75.61,RV,RV,RV,RV,RV,RV,RV,RV,RV,32,42,76.19
2203012,Monticello High School,151,170,88.82,RV,RV,RV,0,0,0.00,RV,RV,RV,54,61,88.52,0,0,0.00,92,103,89.32,0,0,0.00,62,73,84.93,RV,RV,RV,0,0,0.00,RV,RV,RV,65,76,85.53
2301006,Conway High School,581,693,83.84,43,51,84.31,RV,RV,RV,11,11,100.00,158,202,78.22,0,0,0.00,365,425,85.88,RV,RV,RV,189,252,75.00,53,72,73.61,0,0,0.00,12,14,85.71,210,280,75.00
2303017,Greenbrier High School,245,259,94.59,RV,RV,RV,RV,RV,RV,0,0,0.00,RV,RV,RV,RV,RV,RV,227,240,94.58,RV,RV,RV,61,71,85.92,24,28,85.71,RV,RV,RV,RV,RV,RV,78,89,87.64
2304022,Guy-Perkins High School,31,33,93.94,0,0,0.00,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,26,28,92.86,0,0,0.00,19,20,95.00,RV,RV,RV,0,0,0.00,0,0,0.00,20,21,95.24
2305026,Mayflower High School,81,84,96.43,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,72,75,96.00,0,0,0.00,34,36,94.44,12,13,92.31,0,0,0.00,0,0,0.00,37,39,94.87
2306030,Mt. Vernon/Enola High School,32,36,88.89,RV,RV,RV,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,30,33,90.91,0,0,0.00,16,18,88.89,0,0,0.00,0,0,0.00,0,0,0.00,16,18,88.89
2307034,Vilonia High School,210,219,95.89,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,205,213,96.24,0,0,0.00,75,80,93.75,24,28,85.71,0,0,0.00,RV,RV,RV,93,100,93.00
2402007,Charleston High School,77,83,92.77,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,73,79,92.41,RV,RV,RV,19,22,86.36,RV,RV,RV,0,0,0.00,0,0,0.00,21,24,87.50
2403012,County Line High School,38,40,95.00,0,0,0.00,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,35,37,94.59,0,0,0.00,18,20,90.00,RV,RV,RV,0,0,0.00,0,0,0.00,19,21,90.48
