LEA,LEADescription,SchoolEnrollment,SchoolChoiceTotal
2301008,Julia Lee Moore Elem. School,387,0
2301009,Florence Mattison Elem. School,452,0
2301010,Marguerite Vann Elem. School,469,0
2301011,Jim Stone Elementary School,416,0
2301012,Theodore Jones Elem. School,464,0
2301013,Bob Courtway Middle School,499,2
2301016,Ruth Doyle Middle School,523,0
2301017,Ray/Phyllis Simon Middle Schoo,468,0
2301018,Woodrow Cummins Elementary Sch,500,1
2301019,Carolyn Lewis Elementary Schoo,509,0
2301020,Conway Junior High School,1448,0
2303016,Greenbrier Eastside Elementary,558,20
2303017,Greenbrier High School,764,15
2303018,Greenbrier Middle School,542,15
2303019,Greenbrier Westside Elementary,465,14
2303020,Greenbrier Junior High School,546,8
2303021,Greenbrier Wooster Elementary,500,7
2304021,Guy-Perkins Elementary School,223,9
2304022,Guy-Perkins High School,185,9
2305025,Mayflower Elementary School,406,0
2305026,Mayflower High School,376,0
2305027,Mayflower Middle School,341,0
2306029,Mt. Vernon/Enola Elem. School,269,5
2306030,Mt. Vernon/Enola High School,228,5
2307033,Vilonia Elementary School,642,7
2307034,Vilonia High School,723,1
2307035,Vilonia Primary School,509,0
2307036,Vilonia Junior High School,520,2
2307037,Vilonia Middle School,651,8
2402006,Charleston Elementary School,460,12
2402007,Charleston High School,416,11
2403011,County Line Elementary School,221,9
2403012,County Line High School,235,6
2404004,Ozark Middle School,291,10
2404005,Ozark Kindergarten School,145,0
2404015,Elgin B. Milton Elem. School,750,33
2404016,Ozark Junior High School,270,24
2404017,Ozark High School,410,27
2501001,Mammoth Spring Elem. School,227,9
2501002,Mammoth Spring High School,223,17
2502005,Salem Elementary School,421,30
2502006,Salem High School,345,26
2503009,Viola Elementary School,203,0
2503010,Viola High School,189,6
2601001,Cutter-Morning Star Elem. Sch.,322,31
2601002,Cutter-Morning Star High Sch.,279,27
2602005,Fountain Lake Elementary,462,17
2602006,Fountain Lake High School,422,29
2603011,Gardner Stem Magnet School,440,3
2603013,Summit School,126,0
2603015,Oaklawn Magnet School,573,16
2603016,Park Magnet School,274,42
2603020,Hot Springs Middle School,546,29
2603021,Hot Springs High School,872,49
2603023,Langston Magnet School,332,3
2603024,Hot Springs Intermediate School,526,31
2604029,Jessieville Elementary School,421,33
2604030,Jessieville High School,286,28
2604031,Jessieville Middle School,196,20
2605033,Lake Hamilton Elementary Sch,650,16
2605034,Lake Hamilton High School,1039,19
2605035,Lake Hamilton Jr. High School,701,15
2605036,Lake Hamilton Interm. School,673,12
2605037,Lake Hamilton Middle School,693,18
2605038,Lake Hamilton Primary School,687,8
2606039,Lakeside Primary School,502,17
2606042,Lakeside Intermediate School,745,75
2606043,Lakeside Middle School,792,77
2606044,Lakeside High School,1280,125
2607046,Mountain Pine Elem. School,297,22
2607047,Mountain Pine High School,239,14
2703009,Poyen Elementary School,294,66
2703010,Poyen High School,288,88
2705018,East End Elementary School,398,0
2705019,Sheridan Elementary School,565,1
2705020,Sheridan Middle School,888,0
2705021,Sheridan High School,1224,1
2705023,Sheridan Intermediate School,555,1
2705024,East End Intermediate School,489,0
2803016,Marmaduke Elementary School,384,18
2803017,Marmaduke High School,359,45
2807004,Greene Cty Tech Elem. School,565,129
2807007,Greene Co. Tech Middle School,560,133
2807008,Greene Co. Tech High School,750,151
2807009,Green Co. Tech Jr. High School,530,107
2807010,Greene Co. Tech Primary School,578,51
2807011,Greene Cty Tech Intermediate,573,133
2808024,Baldwin Elementary School,252,47
