LEA,LEADescription,Expulsions,WeaponsIncidents,StaffAssaults,StudentAssaults
1608703,The Academies At Jonesboro High School,2,,,1
1611039,Fox Meadow Elementary,,3,,1
1611040,University Hgts. Elem. School,,2,,
1611041,Nettleton Junior High School,,1,,
1611042,Nettleton High School,,,1,1
1611043,Nettleton Intermediate Center,,,,3
1611045,Fox Meadow Intermediate Center,,1,,
1611046,Nettleton Middle School,,,,
1612047,Valley View Elementary School,,1,,
1612048,Valley View High School,,,,
1612050,Valley View Intermediate School,,,,
1612051,Valley View Junior High School,,,,
1613010,Riverside East Elem. School,,,,
1613021,Riverside High School,,1,,
1613031,Riverside West Elem. School,,,,
1701001,Alma Intermediate School,,,,
1701002,Alma High School,1,,,
1701003,Alma Middle School,1,,1,
1701004,Alma Primary School,,,6,30
1702008,Cedarville Elementary School,,,,
1702009,Cedarville High School,,,,3
1702010,Cedarville Middle School,,,,
1703012,Mountainburg Elementary School,,3,,7
1703013,Mountainburg High School,,,,1
1703022,Mountainburg Middle School,,,1,1
1704016,Marvin Primary School,,1,,
1704017,Mulberry High School,,,,
1704018,Pleasant View Junior High,,1,,1
1704022,Millsap Intermediate School,,,,
1705020,City Heights Elementary School,,,,
1705022,King Elementary School,,,,
1705025,Central Elementary School,,,,
1705026,Butterfield Trail Middle Schoo,,1,,
1705027,Van Buren High School,,3,3,10
1705029,James R. Tate Elem. School,,,,2
1705030,Parkview Elementary School,,,,
1705032,Rena Elementary School,,,,
1705033,Northridge Middle School,,,,
1802005,Earle Elementary School,,,,1
1802007,Earle High School,,,,
1803025,Bragg Elementary School,,,,
1803026,Faulk Elementary School,,,,
1803027,Jackson Elementary School,,,,
1803028,Maddux Elementary School,,,,
1803029,Richland Elementary School,,,,
1803030,Weaver Elementary School,,,,
1803032,Wonder Elementary School,,5,,
1803033,East Junior High School,,,,
1803034,West Junior High School,,,,
1803035,Wonder Junior High School,,,,
1803036,West Memphis High School,,,,
1803703,The Academies OF West Memphis Charter School,,,2,
1804011,Avondale Elementary School,,,,
1804012,Marion Elementary School,1,4,1,33
1804014,Marion Junior High School,1,2,,
1804015,Marion High School,,,,2
1804016,Marion Middle School,,3,,
1804017,Marion Intermediate School,,1,,
1901701,Cross County Ele Tech Academy,,3,,22
1901703,Cross Cnty High A New Tech Sch,,2,,21
1905014,Wynne Primary School,,,,
1905015,Wynne Intermediate School,,3,5,12
1905016,Wynne Junior High School,6,,5,
1905017,Wynne High School,5,,2,
2002007,Fordyce High School,,,2,1
2002008,Fordyce Elementary Schools,,1,2,3
2002009,Fordyce Middle School,,,,
2104017,Central Elementary School,,,1,8
2104020,Dumas Junior High School,,1,1,3
2104021,Dumas High School,5,,2,
2104024,Reed Elementary School,,2,1,23
2105026,McGehee Elementary School,,,1,3
2105028,McGehee High School,,,,2
2202004,Drew Central Elem. School,,,,
2202005,Drew Central High School,2,,,
2202007,Drew Central Middle School,,1,2,
2203010,Monticello Elementary School,,,,
2203011,Monticello Middle School,,,4,18
2203012,Monticello High School,2,2,1,
2203014,Monticello Intermediate School,,1,,5
2301001,Ida Burns Elementary School,,1,3,7
2301003,Ellen Smith Elementary School,,,,
2301004,Carl Stuart Middle School,,1,,
2301006,Conway High School,10,2,1,2
2301007,Sallie Cone Preschool,,,,
2301008,Julia Lee Moore Elem. School,,,,
2301009,Florence Mattison Elem. School,1,1,,8
2301010,Marguerite Vann Elem. School,,,,
2301011,Jim Stone Elementary School,,,,
2301012,Theodore Jones Elem. School,,,2,
2301013,Bob Courtway Middle School,1,2,,
2301016,Ruth Doyle Middle School,,1,,1
2301017,Ray/Phyllis Simon Middle Schoo,1,1,,
2301018,Woodrow Cummins Elementary Sch,,,,1
2301019,Carolyn Lewis Elementary Schoo,,,,
2301020,Conway Junior High School,5,4,2,5
2303016,Greenbrier Eastside Elementary,,,,5
2303017,Greenbrier High School,4,2,,
2303018,Greenbrier Middle School,,,,
2303019,Greenbrier Westside Elementary,,,,
2303020,Greenbrier Junior High School,1,,,
2303021,Greenbrier Wooster Elementary,,,,
2304021,Guy-Perkins Elementary School,,,,
2304022,Guy-Perkins High School,,,,
2305025,Mayflower Elementary School,,,,
2305026,Mayflower High School,,,,
2305027,Mayflower Middle School,,1,,5
2306029,Mt. Vernon/Enola Elem. School,,,,
2306030,Mt. Vernon/Enola High School,,,,
2307033,Vilonia Elementary School,,,,
2307034,Vilonia High School,,,,
2307035,Vilonia Primary School,,,,
2307036,Vilonia Junior High School,,,,
2307037,Vilonia Middle School,,1,,2
2307701,Academy OF Technology,,,,
2307702,Academy OF Service & Tech,,,,
2402006,Charleston Elementary School,,,,
2402007,Charleston High School,,,,
2403011,County Line Elementary School,,,,6
2403012,County Line High School,1,,,
2404004,Ozark Middle School,,,,
2404005,Ozark Kindergarten School,,,,
2404015,Elgin B. Milton Elem. School,2,,,
2404016,Ozark Junior High School,,,,
2404017,Ozark High School,1,,,
2501001,Mammoth Spring Elem. School,,,,
2501002,Mammoth Spring High School,,,,
2502005,Salem Elementary School,,,,
2502006,Salem High School,,,,
2503009,Viola Elementary School,,,,
2503010,Viola High School,,,,
2601001,Cutter-Morning Star Elem. Sch.,,,,
2601002,Cutter-Morning Star High Sch.,,,,
2602005,Fountain Lake Elementary,,,,
2602006,Fountain Lake High School,7,4,,1
2602007,Fountain Lake Middle School,,,,
2602702,Fountain Lake Middle School Cobra Digital Prep Academy,,,,
2603011,Gardner Stem Magnet School,,,,
2603013,Summit School,,1,1,2
2603015,Oaklawn Magnet School,,,,
2603016,Park Magnet School,,,,
2603020,Hot Springs Middle School,,4,,1
2603021,Hot Springs High School,,1,,2
2603023,Langston Magnet School,,2,,6
2603024,Hot Springs Intermediate School,,,,
2604029,Jessieville Elementary School,,1,2,
2604030,Jessieville High School,,,,
2604031,Jessieville Middle School,,2,,1
2605033,Lake Hamilton Elementary Sch,,,,
2605034,Lake Hamilton High School,1,,5,23
2605035,Lake Hamilton Jr. High School,2,2,,
2605036,Lake Hamilton Interm. School,,,,
2605037,Lake Hamilton Middle School,,,2,1
2605038,Lake Hamilton Primary School,,,,
2606039,Lakeside Primary School,,,,
2606042,Lakeside Intermediate School,,,1,
2606043,Lakeside Middle School,,3,,4
2606044,Lakeside High School,,3,1,
2607046,Mountain Pine Elem. School,1,,,1
2607047,Mountain Pine High School,2,1,,
2703009,Poyen Elementary School,,,,
2703010,Poyen High School,,,1,1
2705018,East End Elementary School,,,3,8
2705019,Sheridan Elementary School,,,2,
2705020,Sheridan Middle School,,6,,2
2705021,Sheridan High School,1,3,2,1
2705023,Sheridan Intermediate School,,,3,
2705024,East End Intermediate School,,,,1
2803016,Marmaduke Elementary School,,,1,8
2803017,Marmaduke High School,,,,
2807004,Greene Cty Tech Elem. School,,,,
2807007,Greene Co. Tech Middle School,1,,,
2807008,Greene Co. Tech High School,3,,,
2807009,Green Co. Tech Jr. High School,1,,,
2807010,Greene Co. Tech Primary School,,,,
2807011,Greene Cty Tech Intermediate,,3,,
2808024,Baldwin Elementary School,,,,
2808027,Woodrow Wilson Elem. School,,1,1,
2808028,Oak Grove Middle School,,1,3,1
2808042,Paragould Junior High,,2,,
2808043,Paragould High School,2,1,,8
2808044,Paragould Primary School,,4,,
2808045,Oak Grove Elementary School,,,3,7
2808701,Oak Grove Elem Health Wellness,,,,
2901001,Blevins Elementary School,,,,
2901002,Blevins High School,,,,
2903007,Wm. Jefferson Clinton Primary,2,6,14,16
2903008,Beryl Henry Upper Elem. School,,1,,
2903011,Yerger Junior High School,,1,1,2
2903012,Hope High School,,6,3,12
2903013,Garland Learning Center,,,,
2906025,Spring Hill Elementary School,,,,
2906026,Spring Hill High School,,,,
3001001,Bismarck Elementary School,,1,1,3
3001002,Bismarck Middle School,,1,,
3001003,Bismarck High School,,,,
3002007,Glen Rose Elementary School,,1,,1
3002009,Glen Rose High School,,,,
3002010,Glen Rose Middle School,3,2,,1
3003013,Magnet Cove Elementary School,,1,,2
3003014,Magnet Cove High School,,2,,
3004021,Malvern Elementary School,,1,3,
3004022,Malvern Middle School,,3,,3
3004023,Malvern High School,2,2,,
3004025,Wilson Intermediate School,,,,
3005029,Ouachita Elementary School,,,,
3005030,Ouachita High School,,,,2
3102001,Joann Walters Elementary Sch,,,,
3102002,Dierks High School,,,,
3104005,Mineral Springs Elem. School,1,2,2,34
3104006,Mineral Springs High School,,,1,
3104021,Saratoga Elementary School,,,,
3104022,Saratoga High School,,,,
3105009,Nashville Elementary School,,1,,
3105010,Nashville Junior High School,,,,
3105011,Nashville High School,,,,
3105012,Nashville Primary School,,,,
3201001,Central Elementary School,,,,
3201003,West Elementary School,,,,
3201004,Batesville Junior High School,,3,,1
3201005,Batesville High School,,2,,3
3201009,Eagle Mountain Elem School,,,,
3201042,Sulphur Rock Elementary,,1,,1
3209038,Southside Elementary School,,,,
3209039,Southside High School,,,,
3209041,Southside Middle School,,,,
3209042,Southside Junior High School,,,,
3211022,Midland Elementary School,,,,
3211035,Midland High School,,2,,
3212010,Cord-Charlotte Elem. School,,,,
3212026,Newark Elementary School,,,,
3212027,Cedar Ridge High School,,,1,
3301001,Calico Rock Elementary School,,,,2
3301002,Calico Rock High School,,2,,
3302005,Melbourne Elementary School,,,,
3302006,Melbourne High School,3,,,1
3302010,Mount Pleasant Elem. School,,,,
3306014,Izard Co. Cons. Elem. School,,,,
3306015,Izard Co. Cons. High School,,,,
3306016,Izard County Cons Middle Sch,,,,
3403012,Newport Junior High School,,,,
3403013,Newport High School,,,4,
3403014,Newport Elementary School,,1,19,131
3405019,Swifton Middle School,,,,
3405024,Tuckerman Elementary School,,,,1
3405025,Tuckerman High School,1,2,,
3502005,Altheimer-Martin Elementary,,,,
3502006,Matthews Elementary School,,,,4
3502009,Robert F Morehead Middle Schoo,,,1,3
3502010,Dollarway High School,,1,,2
3502011,Townsend Park Elementary Schoo,,4,3,21
3505025,Belair Middle School,1,5,1,
3505026,Broadmoor Elementary School,,1,,
3505030,Greenville Elementary School,,,,
3505034,Oak Park Elementary School,1,1,,4
3505036,Thirty-Fourth Ave. Elem. Sch.,,,4,47
3505037,Southwood Elementary School,,2,7,27
3505041,Southeast Middle School,,,1,3
3505042,Pine Bluff High School,1,4,3,5
3505044,Jack Robey Jr. High School,,1,4,9
3505046,W. T. Cheney Elementary School,,,1,1
3505047,Forrest Park/Greenville Preschool,,,,
3509063,Edgewood Elementary School,,,,
3509064,L. L. Owen Elementary School,,2,3,7
3509066,Coleman Elementary School,1,3,,1
